,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
119825,308580,She opened the door.,| Elle a ouvert la porte. | Elle ouvrit la porte.,Sie machte die Tür auf. | Sie öffnete die Tür.,അവള് വാതില് തുറന്നു.,Ha aperto la porta. | Lei ha aperto la porta. | Aprì la porta. | Lei aprì la porta.,She opened the door.,ඇය දොර ඇරලා.,Otworzyła drzwi.,Ela abriu a porta.
121111,309976,She tried.,Je to essayé.,Sie hat's tried's.,| 彼女は試みた。,Ha provato. | Lei ha provato. | Provò. | Lei provò.,彼女は試した。 | 彼女はやってみた。,她试过了。,Próbowała.,Ela tentou. | Ela tentava.
121341,310214,She is eight.,Elle je osm let.,Sie ist acht.,Je jí osm let. Je jí osm let. Její věk je osm let.,Ha otto anni. | Lei ha otto anni.,彼女は8才だ. | 彼女は八つだ.,| 她八歲大.,Ma osiem lat. | Ona ma osiem lat.,Ela tem oito సంవత్సరాల.
121613,310506,When was she born?,Quand est-elle née?,Wann wurde sie geboren? | Wann ist sie geboren?,Kdy se narodila?,| Lei quando è nata?,When was she born?,| 彼女はいつ生まれましたか?,Kdy se narodila?,When she was born? | Ela nasceu quando?
122819,311795,She is very intelligent.,Ona je opravdu inteligentní. | Ona je velmi inteligentní.,Je velmi inteligentní.,Jest bardzo inteligentna. | Jest bardzo inteligentna.,Lei è molto intelligente. | È molto intelligente.,She's very smart. | She's very smart. | She's very smart. | She's very smart.,她很聪明。,Ona je velmi inteligentna.,Ona je velmi inteligentní.
122851,311828,She loves Tom.,| Elle aime Tom. | Elle aime Tom.,Sie liebt Tom.,Ona miluje Toma.,| Lei ama Tom.,She loves Tom.,ඇය愛湯姆.,Ona kocha Toma. | Kocha Toma.,Ela ama o టామ్.
122914,311898,She smiled.,Elle a souri.,Sie lächelte. | Sie hat gelächelt.,ఆమె חייכה.,"微笑,微笑,微笑,微笑,微笑,微笑,微笑。",彼女はにっこり笑った。 | She smiled.,她笑了。,Uśmiechnęła se.,Ela sorriu. | Ela sorria.
123110,312110,She can speak French.,Elle sait parler français.,Sie spricht Französisch. | Sie kann Französisch sprechen. | Sie kann Französisch.,フランス語を母語とする。 | フランス語を知っている。,英语:Lei sa parlare française. | Sa parlare française. | Sa parlare en français. | Lei sa parlare en français. | Riesce a parlare française. | Lei riesce a parlare française. | Riesce a parlare en français. | Lei riesce a parlare en français. | Lei riesce a parlare en français.,She can speak French.,她会说法语.,Ona umie mówić po francusku. | Mówi po francusku.,Ela sabe falar francés.
123125,312125,Does she speak French?,Parle-t-elle français?,Spricht sie ఫ్రెంచ్?,""""" Тэр Францаар ярьдаг уу? | Тэр Францаар ярьдаг уу? | Тэр Францаар ярьдаг уу? """"",Parla il français? | Lei parla il français?,She speaks French.,她会说法语? | 她讲法语?,Czy ona mówi po francusku?,Ela fala francouzská?
123168,312168,She is my girlfriend.,Já jsem ma copine. | Já jsem ma petite amie.,Je to moje přítelkyně.,ඇය සමාජිකයි.,Je to moje dívka. | Je to moje dívka. | Je to moje tanečnice. | Je to moje tanečnice. | Je to moje tanečnice. | Je to moje morosa. | Je to moje morosa. | Je to moje morosa.,She is my girlfriendだ. | She is my girlfriendフレンドです.,她是我的女朋友。,Ona je moje holka.,Ela é నా namorada.
123555,312575,She worked hard.,| Elle travaillait dur. | Elle travaillait dur.,നീ നന്നായി ജോലി ചെയ്തു.,وہ مشکل سے کام کیا.,Ha lavorato sodo. | Lei ha lavorato sodo.,She worked hard.,她努力地工作。,Ciężko pracowała. | Ona pracowała ciężko.,Ela trabalhou duro.
123811,312850,She went home.,她回来了。,Sie ging nach Hause. | Sie ist nach Hause gegangen.,وہ گھر چلے گئے.,È andata a casa. | Lei è andata a casa.,彼女は家に帰った。 | 彼女は家に帰った。,她回家了。,Poszła do domu.,Ela foi para casa.
124038,313091,She almost drowned.,Elle se noya presque. | Elle s'est presque noyée.,Sie wäre schnell ertrunken. | Sie war kurz vor dem Ertrinken.,"它幾乎是自然的,幾乎是自然的。",| Lei è quasi annegata.,She was drowning. | She was drowning. | She was drowning a bit more. | She was drowning and dying.,She almost就溺水了.,Prawie się utopiła.,Ela almost se afogou.
124133,313193,She cried.,Elle pleurait. | Elle pleura.,Sie weinte.,ඇය בכתה.,Ha pianto. | Lei ha pianto. | Pianse. | Lei pianse.,അവള് കരഞ്ഞു.,അവള് കരഞ്ഞു.,Ona płakała.,Ela chorou. | Ela chorava.
124299,313373,Does she know you?,Te connaît-elle? | Est-ce qu'elle te connaît?,认识你吗? 认识你吗? 认识你?,彼女はあなたを知っていますか? | 彼女はあなたを知っていますか?,Lei ti conosce? | Ti conosce?,| 彼女はあなたを知ってるの?,She Knows You? | She Knows You?,ඇය ඔයාව දන්නවද?,Ela o conhece? | Ela te conhece?
125133,314287,She sat next to me.,Seděla vedle mě. Seděla vedle mě. Seděla vedle mě. Seděla vedle mě. Seděla vedle mě.,Sie saß neben mir. | Sie setzte sich neben mich.,ඇය ישבה על ידי.,例如: Si è seduta di fianco a me. | Lei si è seduta di fianco a me. | Si sedette accanto a me. | Lei si sedette accanto a me. | Si è seduta accanto a me. | Lei si è seduta accanto a me. | Si sedette di fianco a me. | Lei si sedette di fianco a me. | Lei si sedette di fianco a me.,She became my becomeに座った.,她坐在我旁边。,Ona usiadła vedle mě.,Ela sentou-se perto de mim. | Ela se sentou ao meu lado.
126464,315731,Who is she?,എവിടെയാണ്?,කවුද ඇය?,| Who's Who?,Kdo è? | Chi è lei? | Lei chi è?,ඇය කවුද?,ඇය කවුද?,Kim ona dělá srandu?,Quem é ela?
126944,316246,She married him.,| Elle l'épousa. | Elle l'épousa.,| Sie hat ihn geheiratet. | Sie hat ihn geheiratet.,ఆమె అతనితో వివాహం.,L'ha sposato. | Lei l'ha sposato. | Lo sposò. | Lei lo sposò.,She married him.,她嫁给了他。,Wyszła za niego.,Ela se casou com ele.
127156,316478,She wanted to help them.,Elle a voulu les aider.,Sie wollte ihnen helfen.,Chtěla jim pomoct.,Voleva aiutarli. | Lei voleva aiutarli. | Voleva aiutarle. | Lei voleva aiutarle.,She wanted to help them.,"过去,她想帮他们。过去,她想帮他们。",Chciała im pomóc.,Ela queria ajudá-los. | Ela queria ajudá-las.
127208,316540,She looks sad.,Elle paraît triste.,Sie sieht traurig aus.,ఆమె עצובה נראית.,| Lei sembra triste. | Lei sembra triste.,ඇය悲しそうだ.,她看起来很伤心。,Wygląda na smutną.,"Zdá se, že je smutná. - Zdá se, že je smutná."
127209,316541,She looked sad.,Zdálo se jí smutné.,Sie sah traurig aus.,ఆమె עצובה נראתה.,Sembrava triste. | Lei sembrava triste.,She looked so sad. | She had a sad face.,她看上去很伤心。,Wyglądała na smutną. | Wyglądała smutno.,Ela parecia triste.
127559,316925,She walks.,එලී ඇවිදින්න.,Sie geht. | Sie geht zu Fuß.,ඇය යනවා.,Lei cammina.,ඇය ඇවිදිනවා.,她在行走.,അവള് പോകുന്നു.,エラ・アンダ | Ela caminha.
128303,317756,Don't be sad.,Ne sois pas malheureux. | Ne sois pas triste. | Ne sois pas vexé.,| Gräme dich nicht.,」と述べた。 | あああ、あああ。,Ne essere triste. | Non siate tristi. | Non sia triste.,悲しまないでください. | 悲しまないで. | 嘆くなよ.,別傷心. | 別傷心.,വിഷമിക്കണ്ട.,Não fique triste.
128371,317830,Are you tired?,Êtes-vous fatigué? | Êtes-vous fatigués? | Êtes-vous las? | Êtes-vous lasses? | Êtes-vous fatiguées? | Êtes-vous fatiguée? | Êtes-vous fatiguée? | Es-tu fatiguée?,क्या तुम मदद हो? क्या तुम मदद हो? क्या तुम मदद थे?,நீ மயங்கினாய்? நீ மயங்கினாய்? நீ மயங்கினாய்? நீ மயங்கினாய்?,Jsi naštvaná? | Jsi naštvaná? | Jsi naštvaná? | Jsi naštvaná? | Jsi naštvaná? | Jsi naštvaná?,| 君は疲れた? | 疲れた? | 疲れちゃったの? | 疲れたの?,நீ மயங்கினீரா? | நீ மயங்கினீரா? | நீ மயங்கினீரா? | நீ மயங்கினீரா?,Czy jesteś zmęczony?,Jste unaveni? | Jste unavenida? | Jste unavenidos? | Jste unavenidas?
130313,319990,I know.,Je sais.,Ich weiß.,Já vím. - Já vím.,Lo so. | Io lo so.,分かってる. | 分かってます.,මම දන්නවා.,Wiem.,| Sei. | Sei.
130613,320329,That's weird.,Je to divný. | Je to divný.,ඒක අමුතුයි.,یہ عجیب ہے.,Je to zvláštní. | Je to zvláštní.,変なのー.,පුදුමයි.,පුදුම වෙන්න...,Isso é esquisito.
130674,320395,Study!,Étudie! | Étudie | Étudiez!,Lernt! | Lerne! | Studiere! | Studiert!,למד!,Studia! | Studiate! | Studi!,勉強しなさい.,学吧!,ඉගෙන ගන්න!,पढ़ा। पढ़ा। पढ़ा! पढ़ा!
131189,320948,I'm breast-feeding my baby.,Je nourris mon bébé au sein. | Je donne le sein à mon bébé.,Ich stille mein Baby.,මම מניקה את תינוקי.,Sto allattando al seno il mio bambino. | Sto allattando al seno la mia bambina.,I'm nursing with breast milk.,I feed my child breast milk.,Karmię dziecko piersią.,ഞാന് എന് റെ അമ്മയെ ഓര് മ്മിപ്പിക്കുന്നു.
131519,321324,It's not my fault.,| C'est pas ma faute!,To není moje chyba. | To není moje vina. | Nemůžu za to nic udělat.,"මට සමාවෙන්න, මට සමාවෙන්න.",Non è colpa mia.,It's not my fault.It's not my fault.It's not my fault.It's not my fault.It's not my fault.It's not my fault.,ඒක මගේ වැරැද්දක් නෙවෙයි.,මගේ බිරිදට.,A culpa não é mía. | Nem olhe pra mim. | Não é mía culpa.
131613,321441,Tell me the truth.,| Dis-moi la vérité. | Dis-moi la vérité.,Řekni mi pravdu. Řekni mi pravdu. Řekni mi pravdu. Řekni mi pravdu. Řekni mi pravdu!,"""உண்மையைப் பற்றிப் பேசுங்கள், உண்மையைப் பற்றிப் பேசுங்கள், உண்மையைப் பற்றிப் பேசுங்கள்.",Dimmi la verità. | Mi dica la verità. | Ditemi la verità.,Tell me the truth. | Tell me the truth. | Tell me the truth. | Tell me the truth.,මට ඇත්ත කියන්න.,Powiedź mi prawdę. | Powiedz mi prawdę.,Diga-me a truth. | Me diz a truth. | Diz-me a truth.
131614,321442,Leave it to me.,Laisse-moi m'en occuper. | Laisse-moi m'en charger.,Überlasse das mir. | Lass mich mich mich darum kümmern. | Überlasst das mir. | Überlassen Sie das mir. | Überlass das mir.,Nechte mi to na mně. | Nechte mi to na mně. | Dejte mi to na starost.,Lasciamelo. | Lasciamela. | Lasciatemelo. | Lasciatemela. | Me lo lasci. | Me la lasci.,I want you to leave me alone. | 任せろよ. | 任せせ! | 私に任せなさい. | 俺に任せろ. | 任せ。 | 任せといて. | 俺にまかせとけ。,లెట్ కమ్.,నాకు ఉండండి.,Leavem isso comigo! | Pode deixar isso comigo!
131654,321497,Do you love me?,M'aimes-tu? | Est-ce que tu m'aimes? | M'aimez-vous? | Tu m'aimes? | Est-ce que tu m'aimes? | Est-ce que tu m'aimes? | Est-ce que tu m'aimes?,Liebst du mich? | Liebt ihr mich? | Lieben Sie mich?,Miluješ mě? | Miluješ mě?,Mi ami? | Mi ama? | Mi amate? | Tu mi ami? | Lei mi ama? | Voi mi amate?,Do you love me? Do you love me? Do you love me?,You Love Me? | You Love Me?,Czy mnie kochasz? | Kochasz mnie?,Você me ama? | Tu me amas? | Amas-me?
131743,321599,I have three cameras.,J'ai tris aparatai nuotrauka.,Ich habe drei Kameras.,Mám tři kamery.,Ho tre macchine fotografiche. | Io ho tre macchine fotografiche.,I have three cameras.,我有三台攝影機。,Mam trzy aparaty fotograficzne.,Eu tenho tres cameras.
131805,321673,I'm so happy.,Je suis si heureux. | Je suis si šťastný. | Je suis si šťastný. | Je jsem tak šťastný. | Je jsem tak šťastný.,Ich bin so glücklich.,Jsem tak šťastná. | Jsem velmi šťastná. | Jsem tak šťastná.,Sono così felice.,මට ගොඩක් සතුටුයි.,I'm happy. | I'm so happy.,Jsem tak šťastná.,Jsem tak šťastná. | jsem tak šťastná. | jsem tak šťastná. | jsem tak šťastná. | jsem tak šťastná.
131829,321700,I have to go now.,"Je dois y aller maintenant. | Il faut que j'y aille, maintenant.",Musím teď jít. | Musím teď weggehen. | Jetzt muss ich gehen.,මට දැන් යන්න වෙනවා.,| Devo andare ora. | Devo partire ora.,I have to go. | もう行かなくちゃ. | もう行かなくちゃ. | もう行かなくちゃ. | もう行かないと. | もう失礼しなくては. | もうおいとまししなければなりません. | もう行かなくちゃ.,I should go. | I should go.,Muszę już iść.,"”“我必须离开,我必须离开,我必须离开,我必须离开,我必须离开,我必须离开,我必须离开,我必须离开。"
