,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
73077,257112,I like your car.,J'aime votre voiture. | J'aime votre auto. | J'aime ta voiture.,Ich mag dein Auto. | Ihr Auto gefällt mir. | Ihr Wagen gefällt mir. | Mir gefällt euer Auto. | Mir gefällt dein Auto.,നിന് റെ കാര് എനിക്കിഷ്ടപ്പെട്ടു.,Líbí se mi tvoje auto. | Líbí se mi tvoje auto. | Líbí se mi tvoje auto. | Líbí se mi tvoje auto. | Líbí se mi tvoje auto. | Líbí se mi tvoje auto.,I like your car. | I like your car. | I like your car.,I like your car. | I like your car.,Podoba mi się twój samochód. | Lubię twój samochód.
73078,257113,I need your help.,J'ai besoin que tu m'aides. | J'ai besoin de ton aide. | J'ai besoin de votre aide.,Já potřebuji tvou pomoc. | Já mám tvou pomoc nötig. | Já potřebuji tvou pomoc. | Já potřebuji tvou pomoc. | Já potřebuji tvou pomoc. | Já potřebuji tvou pomoc. | Já potřebuji tvou pomoc.,私はあなたの助けを必要とします。,Ho bisogno del tuo aiuto. | Ho bisogno del vostro aiuto. | Ho bisogno del suo aiuto.,I need your help. | I need your help. | I need your help.,I need your help.,Potrzebuję twojej pomocy. | Potrzebna mi twoja pomoc.
73156,257204,I'm married.,Je suis marié. | Je suis mariée.,Ich bin verheiratet.,結婚。| 結婚。,Já jsem ženatý. Já jsem ženatý. Já jsem ženatý. Já jsem ženatý. Já jsem ženatý.,I am married.,I Married | I Married.,Jestem zamężna. | Jestem mężatką.
73213,257266,I have lost my key.,J'ai perdu ma clef. | J'ai perdu ma clef.,Ich habe meinen Schlüssel verloren.,I lost my key.,Ho perso la mia chiave. | Io ho perso la mia chiave.,I lost my key. | I lost my own key. | 鍵をなくした。,我钥匙丢了。,Zgubiłem mój klucz.
73426,257499,I'm on vacation.,Je suis en vacances.,Ich habe Ferien.,میں آزاد ہوں.,Sono je na dovolené.,I am taking vacation now.,我在度假。,Jestem na urlopie. | Jestem na wakacjach.
73674,257783,He wrote a letter yesterday.,"Hier, il a écrit une lettre. | Il a écrit une lettre hier.",Er hat gestern einen Brief geschrieben.,他昨天写了一封信.,Ieri ha scritto una lettera.,He wrote yesterday手紙を書いた.,| 昨天他写了一封信.,Napisał wczoraj list.
73698,257809,I was busy yesterday.,J'étais occupé hier. | J'étais occupée hier.,Ich war gestern beschäftigt.,ഇന്നലെ ഞാൻ തിരക്കിലായിരുന്നു.,我是昨天被占领的。我是昨天被占领的。我是昨天被占领的。我是昨天被占领的。我是昨天被占领的。,I was busy yesterday. | yesterdayは忙しかったんだよ.,我昨天很忙。,Včera jsem byl zajęty. | Bylem zajęty včera. | Bylem včera zajęty.
73707,257819,I retired last year.,J'ai pris ma retraite l'an dernier.,Ich bin letztes Jahr in Rente gegangen.,මම ගිය අවුරුද්දේ විශ් රාම ගියා. ගිය අවුරුද්දේ විශ් රාම ගියා. ගිය අවුරුද්දේ විශ් රාම ගියා.,我去年退休了。 | 我去年退休了。 | 我去年退休了。,I retired last year. | I retired last year.,I retired last year.,Przeszedłem na emeryturę w poprzednim roku.
74284,258457,I wrote a letter.,J'ai écrit une lettre.,Ich schrieb einen Brief. | Ich habe einen Brief geschrieben.,මම ලියුමක් ලිව්වා.,Ho scritto una lettera. | Io ho scritto una lettera.,I wrote a letter.,මං写了一封信.,Napisałem list.
74510,258713,I laughed.,ഹേയ് റി.,Ich lachte.,צחקתי.,| Risi.,笑っちゃった。 | 笑っちゃった。,මම හිනාවුනා.,Śmiałem się.
74564,258769,I overslept.,J'ai trop dormi.,Ich habe verschlafen.,例如:I didn't wake up while. | ישנתי יתר על המידה. | ישנתי יותר מדי.,Ho dormito troppo. | Dormii troppo. | Io ho dormito troppo.,寝過ごしちゃった。 | 私は寝過ごした。 | 私は寝坊した。,I'm sleeping overheaded. | I'm sleeping overheaded.,Zaspałem. | Zaspałam.
74638,258845,I know the truth.,Je connais la vérité.,Ich kenne die Wahrheit.,నేనుమీరునిజానికితెలుసు,Já znám la verità. | Tak la verità. | Conosco la verità. | Já tak la verità.,I know the truth. | 本当のこと知ってるよ.,මම ඇත්ත දන්නවා.,Znam prawdę.
74773,258994,I'm not a student.,Je ne suis pas un étudiant. | Je ne suis pas étudiant. | Je ne suis pas étudiante.,Ich bin kein Schüler. | Ich bin kein Schüler.,"我不是学生,我不是学生,我不是学生,我不是学生。",Já nejsem žák. Já nejsem žák. Já nejsem žák. Já nejsem žák. Já nejsem žák. Já nejsem žák.,私は学生じゃありません。 | 私は学生じゃありません。,我不是學生。,Nie jestem studentem. | Nie jestem uczniem.
74799,259020,I have a new red car.,J'ai une nouvelle voiture rouge.,Ich habe einen neuen roten Wagen. | Ich habe ein neues rotes Auto.,"මට අලුත් කාර් එකක් තියෙනවා, අדומה.",Ho una nuova auto rossa. | Ho una nuova macchina rossa. | Ho una nuova auto rossa.,I have a red new car.,I have a new red car.,Mam nowy czerwony samochód.
74809,259030,I've lost my ticket.,J'ai perdu mon billet.,Ich habe mein Ticket verloren.,నా הכרטיס איבדתי.,Ho perso il mio biglietto. | Io ho perso il mio biglietto.,I didn't have a ticket.,I have lost my ticket.,Zgubiłem mój bilet.
74823,259045,I was in London last month.,Byl jsem v Londýně minulý měsíc.,Ich war letzten Monat in London.,Byl jsem v Londýně minulý měsíc.,Ero a London il mese scorso. | Io ero a London il mese scorso.,I was in London last month.,I was in London last month.,W zeszłym miesiącu byłem w Londynie.
74847,259069,I am a teacher.,Ich bin Lehrer. | Ich bin Lehrer.,Ich bin Lehrerin. | Ich bin Lehrer.,ഞാൻ מורה.,Sono un insegnante. | Sono un'insegnante. | Sono insegnante.,私は先生です. | 私は教師です.,I am a teacher. | 我是老师.,Jsem učitelem.
74848,259070,I am not a teacher.,Je ne suis pas un enseignant. | Je ne suis pas enseignant.,Ich bin kein Lehrer. | Ich bin keine Lehrerin.,先生は先生ではありません。,Non sono un insegnante. | Non sono un'insegnante.,私は先生ではありません。 | 私は教師ではありません。,I'm not a teacher.,Nie jestem nauczycielem.
74945,259190,I run.,Je cours.,Ich renne. | Ich laufe.,මම רצה.,Io corro. | Corro.,私は走る. | 私は走ります.,මම දුවනවා.,ബിയെഗ്ന.
74984,259233,I'm proud of my son.,ഞാന് എന് റെ മകനെ ഭയപ്പെടുത്തുന്നു.,Ich bin stolz auf meinen Sohn.,මං גאה בבני.,Sono fiero di mio figlio.,I am proud of my son. | I am proud of my son.,I for my son feel proud.,Jsem dumny z mého syna.
75037,259288,I'm healthy.,Je suis en bonne santé.,Ich bin bei guter Gesundheit. | Ich bin gesund.,Я здоров. | Я бריאה.,Sono in buona salute. | Sono in salute.,I'm in good health.,මගේ身体很好.,Jsem zdravý.
75155,259413,I'm afraid of earthquakes.,Já se bojím zemětřesení. | Já se bojím zemětřesení.,నేను Erdbeben vor fürchte mich.,| 私は חושש מרעש אדמה. | 私は חושש מרעש אדמה.,Ho paura dei terremoti. | Io ho paura dei terremoti.,I'm afraid of earthquakes.,我怕地震。,Boję się trzęsień ziemi.
75470,259747,I love reading books.,Já miluju lire des livres.,Ich lese sehr gerne Bücher.,"我喜欢看书,我喜欢看书,我非常喜欢看书,我非常喜欢看书。",Amo leggere libri. | Io amo leggere libri.,I love reading books. | I love reading books. | I love reading books.,我很喜欢看书。,Kocham czytanie książek.
75593,259880,I do not have a cat.,Je n'ai pas de chat.,Ich habe keine Katze.,אין לי חתול.,నాన్ ho un gatto.,I don't own a cat. | I don't own a cat.,මම没有 cat.,Nie mam kota.
76817,261221,I love her.,Je l'aime.,Ich liebe sie.,నేను ఆమె ప్రేమిస్తున్నాను.,イオ・ラ・アモ | Io le voglio bene.,I love her. | I love her. | I love her.,I love her. | I love her.,Kocham ją.
77052,261477,I'm poor.,ഞാന് പാവനാണ്.,Ich bin ہاتھ.,මමעני.,Sono povero. | Sono povera. | Io sono povero. | Io sono povera.,I am poor乏です.,මම ගොඩක් දුප්පත්.,Jsem biedny.
77065,261490,I've never climbed Mt. Fuji.,Je n'ai jamais escaladé le mont Fuji.,Ich bin noch nie auf den Fuji gestiegen.,කවදාවත් לא טיפסתי על הר פוג'י.,Non ho mai scalato il Monte Fuji. | Io non ho mai scalato il Monte Fuji.,I have never climbed to the mountain. | I have never climbed to the mountain.,I never climbed above Mount Fuji.,I never wspiąłem się na górę Fuji.
77275,261721,I'm busy.,Je suis occupée. | Je suis occupée.,Ich bin beschäftigt. | Ich habe zu tun.,Já jsem zaneprázdněná. | Já jsem zaneprázdněná.,"我是被占领的,我是被动的,我是被动的,我是被动的,我是被动的,我是被动的,我是被动的",මම කාර්යබහුලයි.,ఎల్ m బిజీగా.,Jestem zajęty. | Zarobiony jestem.
77387,261849,I run every day.,මම හැම දවසකම යනවා.,Ich laufe jeden Tag.,| 私は רצה כל יום.,Corro tutti i giorni. | Corro ogni giorno.,私は毎日走ります。 | 毎日、走ります。,我每天跑步。,Biegam ప్రతి రోజు.
77726,262220,I live with my parents.,私は両親と暮らす。| 私は両親と暮らす。,Ich wohne bei meinen Eltern. | Ich wohne zusammen mit meinen Eltern. | Ich wohne mit meinen Eltern zusammen. | Ich lebe bei meinen Eltern. | Ich lebe mit meinen Eltern zusammen.,Já žiju s rodiči. Já ži s rodiči. Já ži s rodiči.,Já žiju se svými rodiči. | Já žiju se svými rodiči. | Abito se svými rodiči. | Já abito se svými rodiči. | Abito se svými rodiči. | Já abito se svými rodiči.,I live with my parents. | I live with my parents. | 親と一緒に住んでます. | 親と一緒に住んでます.,මම跟父母住在一起.,Mieszkam z rodzicami.
77743,262240,I like apples.,J'aime les pommes.,Ich mag Äpfel. | Ich mag Äpfel gerne.,私はイチゴを愛しています。| 私はイチゴを愛しています。,Mi piacciono le mele. | A me piacciono le mele.,I like apples. | I like apples.,我很喜欢苹果。,Lubię jabłka.
77810,262315,I broke my arm.,Je me suis cassé le bras.,Ich brach mir den Arm.,שברתי את הזרוע שלי.,我的胸膛破裂了。 我的胸膛破裂了。 我的胸膛痛。,I broke my arm.,我的手臂断了。,Złamałem ruku.
77834,262339,"I think so, too.",എനിക്കും തോന്നുന്നു.,Myslím to taky. | Myslím to taky. | Tohle si myslím taky. | Tohle si myslím taky. | Tohle si myslím taky. | Tohle si myslím taky.,Taky si to myslím.,Anche io lo penso. | Anche io la penso così.,私もそう思う。 | 私もそう思う。 | 私もそう思う。,I think so. | I think so. | I think so.,Też tak myslím.
77908,262424,Please help me.,Je vous prie de m'aider. | Je te prie de m'aider.,"Hilf mir, bitte. | Helfen Sie mir bitte.","Prosím, pomoz mi. | Prosím, pomoz mi.","例如: 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡, 喜歡。",Please help me. | どうか助けてください。 | 助けてください。 | 手伝ってください。,請幫助我. | 請幫我.,"Prosím, pomóż mi. | Pomóż mi, prosím. | Prosím, pomóżcie mi."
78717,263406,Poets write poems.,Поэты и писатели стихотворений.,गद्य लिखना गद्य।,Poetores escriben poesía.,I poeti scrivono poesie. | I poeti scrivono delle poesie.,诗人写诗。,诗人写诗.,Poeci piszą wiersze.
79144,263886,Time flies.,Le temps s'enfuit. | Le temps s'envole. | Le temps passe vite. | Le temps file. | Le temps vole.,Die Zeit fliegt.,කාලයטס.,Il tempo vola.,♪ ♪ ♪ ♪ ♪ ♪ ♪,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪,Czas leci.
79970,264824,Respect yourself.,respecte-toi. | Respectez-vous.,സ്വയം ബഹുമാനിക്കൂ.,സ്വയം ബഹുമാനിക്കണം.,Rispetta te stesso. | Rispetta te stessa. | Rispetti se stesso. | Rispetti se stessa.,自分を大切にしなさい。,కైండ్ స్వ尊.,ശുഭദിനം.
80319,265233,What actually happened?,"Que s'est-il produit, en réalité? | Que s'est-il passé, en réalité? | Qu'est-il vraiment arrivé?",Was ist eigentlich passiert? | Was ist wirklich passiert? | Was geschah wirklich?,តើ អ្វី បាន កើត ឡើង?,Was ist wirklich der Erfolg? | Was ist wirklich der Erfolg? | Was ist wirklich der Erfolg?,実際に何が起こったの? | 実際に何があったの?,到底发生了什么事。,Co se opravdu stalo?
80482,265406,I wish I had a car.,എനിക്കൊരു കാറ് വേണം.,"Ich wünschte, ich hätte ein Auto. | Schön wär’s, wenn ich ein Auto hätte.",| 私はあなたが私の車を持っていることを望んでいた。,Vorrei avere un'automobile.,車があったらなぁ。 | 車があればなぁ。,I wish I had a car.,"Szkoda, że nie mam samochodu."
80569,265500,Drive carefully.,विवेकशीलता का संचालन।,Buďte opatrný. Buďte opatrný. Buďte opatrný. Buďte opatrný.,පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න. පරිස්සමින් පදවන්න.,ഗൈഡ കോൺ പ്യൂട്ടിസെൻസ. | ഗൈഡ കോൺ പ്യൂട്ടിസെൻസ. | ഗൈഡി കോൺ പ്യൂട്ടിസെൻസ.,車の運転に注意する。 | 慎重に運転してください。 | 安全運転しなさい。 | 安全運転してね。,運転注意点. | 安全地驾驶.,ہوشیار رہو.
