,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
72890,256891,I like fish.,我喜欢鱼。,Ik hou van vis.,Tykkään kalasta.,J'aime le poisson.,Ich mag Fisch gern.,אני אוהב דגים.,Szeretem a halat.,Mi piace il pesce.,私は魚が好きだ。,Lubię ryby.,Я люблю рыбу.,Me gusta el pescado.,Ben balık severim.,Я люблю рибу.
72970,256982,I'm going to the bank.,我要去银行了。,Ik ga naar de bank.,Olen menossa pankkiin.,Je vais à la banque.,Ich gehe zur Bank.,אני הולך לבנק.,Megyek a bankba.,Sto andando in banca.,私は銀行に行きます。,Idę do banku.,Я иду в банк.,Voy al banco.,Ben bankaya gidiyorum.,Я йду до банку.
73077,257112,I like your car.,我喜欢您的车。,Ik vind je auto leuk.,Pidän autostasi.,J'aime votre voiture.,Ich mag dein Auto.,המכונית שלך מוצאת חן בעיני.,Szeretem az autódat.,Mi piace la tua auto.,私は君の車が好きだ。,Podoba mi się twój samochód.,Мне нравится твоя машина.,Me gusta tu automóvil.,Arabanı severim.,Мені подобається ваш автомобіль.
73078,257113,I need your help.,我需要你的帮助。,Ik heb je hulp nodig.,Tarvitsen apuasi.,J'ai besoin que tu m'aides.,Ich brauche deine Hilfe.,אני זקוק לעזרתך.,A segítségedet kell kérnem.,Ho bisogno del tuo aiuto.,君の助けが必要なんだ。,Potrzebuję twojej pomocy.,Мне нужна твоя помощь.,Necesito tu ayuda.,Yardımınıza ihtiyacım var.,Мені потрібна твоя допомога.
73156,257204,I'm married.,我结婚了。,Ik ben getrouwd.,Olen naimisissa.,Je suis marié.,Ich bin verheiratet.,אני נשוי.,Házas vagyok.,Sono sposato.,私は結婚しています。,Jestem zamężna.,Я замужем.,Estoy casado.,Ben evliyim.,Я одружений.
73213,257266,I have lost my key.,我钥匙丢了。,Ik ben mijn sleutel kwijt.,Olen hävittänyt avaimeni.,J'ai perdu ma clé.,Ich habe meinen Schlüssel verloren.,איבדתי את המפתח שלי.,Elvesztettem a kulcsomat.,Ho perso la mia chiave.,私は鍵をなくした。,Zgubiłem mój klucz.,Я потерял свой ключ.,He perdido la llave.,Benim anahtarımı kaybettim.,Я загубив свій ключ.
73281,257340,I'll join you later.,我一會兒就來。,Ik zal me later bij jullie aansluiten.,Liityn seuraanne myöhemmin.,Je vous rejoindrai plus tard.,Ich komme später zu euch.,אצטרף אליך מאוחר יותר.,Később csatlakozom hozzád.,Vi raggiungerò più tardi.,私は後で君たちに合流する。,Dołączę do ciebie później.,Я присоединюсь к Вам позже.,Me reuniré contigo más tarde.,Size daha sonra katılacağım.,Я приєднаюся до тебе пізніше.
73426,257499,I'm on vacation.,我在度假。,Ik ben op vakantie.,Olen lomalla.,Je suis en vacances.,Ich habe Ferien.,אני בחופש.,Üdülök.,Sono in vacanza.,私は今休暇を取っています。,Jestem na urlopie.,Я в отпуске.,Estoy de vacaciones.,Tatildeyim.,Я на канікулах.
73674,257783,He wrote a letter yesterday.,昨天他写好了信。,Gisteren heeft hij een brief geschreven.,Hän kirjoitti kirjeen eilen.,"Hier, il a écrit une lettre.",Er hat gestern einen Brief geschrieben.,הוא כתב אתמול מכתב.,Tegnap írt egy levelet.,Ieri ha scritto una lettera.,彼は昨日手紙を書いた。,Napisał wczoraj list.,Он вчера написал письмо.,Ayer escribió una carta.,O dün bir mektup yazdı.,Він вчора написав листа.
73698,257809,I was busy yesterday.,我昨天很忙。,Ik had het gisteren druk.,Olin kiireinen eilen.,J'étais occupé hier.,Ich war gestern beschäftigt.,אתמול הייתי עסוק.,Tegnap elfoglalt voltam.,Sono stato occupato ieri.,私は昨日忙しかった。,Wczoraj byłem zajęty.,Вчера я был занят.,Ayer estuve ocupado.,Dün meşguldüm.,Я вчора був зайнятий.
73707,257819,I retired last year.,我去年退休了。,Ik ging vorig jaar met pensioen.,Jäin viime vuonna eläkkeelle.,J'ai pris ma retraite l'an dernier.,Ich bin letztes Jahr in Rente gegangen.,יצאתי לגמלאות בשנה שעברה.,Tavaly mentem nyugdíjba.,Sono andato in pensione l'anno scorso.,私は昨年退職しました。,Przeszedłem na emeryturę w poprzednim roku.,Я вышел на пенсию в прошлом году.,Me jubilé el año pasado.,Geçen yıl emekli oldum.,Я звільнився в минулому році.
74284,258457,I wrote a letter.,我写了一封信。,Ik heb een brief geschreven.,Kirjoitin kirjeen.,J'ai écrit une lettre.,Ich schrieb einen Brief.,כתבתי מכתב.,Írtam egy levelet.,Ho scritto una lettera.,私は手紙を書いた。,Napisałem list.,Я написал письмо.,Escribí una carta.,Bir mektup yazdım.,Я написав листа.
74510,258713,I laughed.,我笑了。,Ik lachte.,Nauroin.,J'ai ri.,Ich lachte.,צחקתי.,Nevettem.,Ho riso.,私は笑ってしまった。,Śmiałem się.,Я смеялся.,Me reí.,Güldüm.,Я сміявся.
74564,258769,I overslept.,我睡过头了。,Ik heb me verslapen.,Nukuin pommiin.,J'ai trop dormi.,Ich habe verschlafen.,לא התעוררתי בזמן.,Elaludtam.,Ho dormito troppo.,寝過ごしちゃった。,Zaspałem.,Я проспал.,Me quedé dormido.,Uyuyakalmışım.,Я проспав.
74638,258845,I know the truth.,我知道真相。,Ik ken de waarheid.,Minä tiedän totuuden.,Je connais la vérité.,Ich kenne die Wahrheit.,אני יודע את האמת.,Ismerem az igazságot.,Io conosco la verità.,私は真実を知っている。,Znam prawdę.,Я знаю правду.,Sé la verdad.,Ben gerçeği biliyorum.,Я знаю правду.
74773,258994,I'm not a student.,我不是學生。,Ik ben geen student.,Minä en ole opiskelija.,Je ne suis pas un étudiant.,Ich bin kein Student.,אני לא סטודנט.,Én nem vagyok diák.,Non sono uno studente.,私は生徒ではありません。,Nie jestem studentem.,Я не ученик.,No soy un estudiante.,Ben öğrenci değilim.,Я не студент.
74799,259020,I have a new red car.,我有一輛新的紅色汽車。,Ik heb een nieuwe rode auto.,Minulla on uusi punainen auto.,J'ai une nouvelle voiture rouge.,Ich habe einen neuen roten Wagen.,"יש לי מכונית חדשה, אדומה.",Van egy új piros autóm.,Ho una nuova auto rossa.,私は赤い新車を持っている。,Mam nowy czerwony samochód.,У меня есть новая красная машина.,Tengo un coche rojo nuevo.,Yeni bir kırmızı arabam var.,У мене є нова червона машина.
74809,259030,I've lost my ticket.,我把票弄丟了。,Ik ben mijn kaartje kwijt.,Olen kadottanut lippuni.,J'ai perdu mon billet.,Ich habe mein Ticket verloren.,איבדתי את הכרטיס שלי.,Elvesztettem a jegyemet.,Ho perso il mio biglietto.,私は切符をなくしたのです。,Zgubiłem mój bilet.,Я потерял свой билет.,Perdí mi boleto.,Biletimi kaybettim.,Я загубив квиток.
74823,259045,I was in London last month.,上個月我在倫敦。,Ik was vorige maand in Londen.,Olin Lontoossa viime kuussa.,J'étais à Londres le mois dernier.,Ich war letzten Monat in London.,הייתי בלונדון בחודש שעבר.,A múlt hónapban Londonban voltam.,Ero a Londra il mese scorso.,私は先月ロンドンにいました。,W zeszłym miesiącu byłem w Londynie.,В прошлом месяце я была в Лондоне.,Estuve en Londres el mes pasado.,Geçen ay Londra'daydım.,Минулого місяця я був у Лондоні.
74847,259069,I am a teacher.,我是個老師。,Ik ben leraar.,Olen opettaja.,Je suis professeur.,Ich bin Lehrerin.,אני מורה.,Tanító vagyok.,Sono un insegnante.,私は先生です。,Jestem nauczycielem.,Я учитель.,Yo soy profesor.,Ben bir öğretmenim.,Я вчитель.
74848,259070,I am not a teacher.,我不是個老師。,Ik ben geen leraar.,En ole opettaja.,Je ne suis pas un enseignant.,Ich bin kein Lehrer.,אני לא מורה.,Nem vagyok tanár.,Non sono un insegnante.,私は先生ではありません。,Nie jestem nauczycielem.,Я не учитель.,No soy maestro.,Öğretmen değilim.,Я не вчитель.
74945,259190,I run.,我跑。,Ik ren.,Minä juoksen.,Je cours.,Ich renne.,אני רצה.,Futok.,Io corro.,私は走る。,Biegnę.,Я бегу.,Corro.,Koşarım.,Я біжу.
74984,259233,I'm proud of my son.,我为我儿子感到骄傲。,Ik ben trots op mijn zoon.,Olen ylpeä pojastani.,Je suis fier de mon fils.,Ich bin stolz auf meinen Sohn.,אני גאה בבני.,Büszke vagyok a fiamra.,Sono fiero di mio figlio.,私は息子を誇りに思っている。,Jestem dumny z mojego syna.,Я горжусь своим сыном.,Estoy orgulloso de mi hijo.,Oğlumla gurur duyuyorum.,Я пишаюся своїм сином.
75037,259288,I'm healthy.,我身体很好。,Ik ben gezond.,Olen terve.,Je suis en bonne santé.,Ich bin bei guter Gesundheit.,אני בריא.,Egészséges vagyok.,Sono in buona salute.,私は体は健康です。,Jestem zdrowy.,Я здоров.,Estoy saludable.,Ben sağlıklıyım.,Я здоровий.
75155,259413,I'm afraid of earthquakes.,我怕地震。,Ik ben bang voor aardbevingen.,Minä pelkään maanjäristyksiä.,J'ai peur des tremblements de terre.,Ich fürchte mich vor Erdbeben.,אני מפחד מרעידות אדמה.,Félek a földrengésektől.,Ho paura dei terremoti.,私は地震が怖い。,Boję się trzęsień ziemi.,Я боюсь землетрясений.,Me dan miedo los terremotos.,Depremlerden korkarım.,Я боюся землетрусів.
75470,259747,I love reading books.,我很喜欢看书。,Ik lees heel graag boeken.,Minä rakastan kirjojen lukemista.,J'adore lire des livres.,Ich lese sehr gerne Bücher.,אני אוהב לקרוא ספרים.,Szívesen olvasok könyveket.,Amo leggere libri.,読書が好きです。,Kocham czytanie książek.,Я люблю читать книги.,Me gusta leer libros.,Kitap okumayı seviyorum.,Я люблю читати книжки.
75593,259880,I do not have a cat.,我没有猫。,Ik heb geen kat.,Minulla ei ole kissaa.,Je n'ai pas de chat.,Ich habe keine Katze.,אין לי חתול.,Nincs macskám.,Non ho un gatto.,私は猫を飼っていない。,Nie mam kota.,У меня нет кошки.,No tengo gato.,Benim bir kedim yok.,Я не маю кота.
76817,261221,I love her.,我愛她。,Ik hou van haar.,Rakastan häntä.,Je l'aime.,Ich liebe sie.,אני אוהב אותה.,Szeretem.,Io la amo.,彼女に恋している。,Kocham ją.,Я люблю её.,La amo.,Onu seviyorum.,Я кохаю її.
77052,261477,I'm poor.,我很穷。,Ik ben arm.,Olen köyhä.,Je suis pauvre.,Ich bin arm.,אני עני.,Szegény vagyok.,Sono povero.,私は貧乏です。,Jestem biedny.,Я беден.,Soy pobre.,Ben fakirim.,Я бідний.
77065,261490,I've never climbed Mt. Fuji.,我從來沒有爬過富士山。,Ik heb nog nooit de berg Fuji beklommen.,En ole koskaan kiivennyt Fuji-vuorelle.,Je n'ai jamais escaladé le mont Fuji.,Ich bin noch nie auf den Fuji gestiegen.,מעולם לא טיפסתי על הר פוג'י.,Sohasem másztam meg a Fuji-hegyet.,Non ho mai scalato il Monte Fuji.,私は富士山に登った事がない。,Nigdy nie wspiąłem się na górę Fuji.,Я никогда не поднимался на Фудзияму.,Nunca he escalado el monte Fuji.,Mt.Fuji'ye asla tırmanmadım.,Я ніколи не піднімався на Фудзіяму.
77275,261721,I'm busy.,我很忙。,Ik ben bezig.,Minulla on kiire.,Je suis occupé.,Ich bin beschäftigt.,אני עסוק.,Elfoglalt vagyok.,Sono occupato.,私は忙しい。,Jestem zajęty.,Я занят.,Estoy ocupado.,Meşgulüm.,Я зайнятий.
77387,261849,I run every day.,我每天跑步。,Ik ren elke dag.,Juoksen joka päivä.,Je cours tous les jours.,Ich laufe jeden Tag.,אני רץ כל יום.,Minden nap futok.,Corro tutti i giorni.,私は毎日走ります。,Biegam codziennie.,Я бегаю каждый день.,Corro todos los días.,Her gün koşarım.,Я роблю пробіжки щоденно.
77691,262179,I have an egg.,我有一只蛋。,Ik heb een ei.,Minulla on muna.,J'ai un œuf.,Ich habe ein Ei.,יש לי ביצה.,Egy tojásom van.,Ho un uovo.,私は卵を一つ持っています。,Mam jajko.,У меня есть яйцо.,Tengo un huevo.,Bir yumurtam var.,У мене є яйце.
77726,262220,I live with my parents.,我跟父母住在一起.,Ik woon samen met mijn ouders.,Asun vanhempieni kanssa.,Je vis avec mes parents.,Ich wohne bei meinen Eltern.,אני מתגוררת עם הוריי.,A szüleimmel élek.,Vivo con i miei genitori.,私は両親と暮らしています。,Mieszkam z rodzicami.,Я живу с родителями.,Yo vivo con mis padres.,Ebeveynlerimle birlikte yaşıyorum.,Я живу з батьками.
77743,262240,I like apples.,我很喜欢苹果。,Ik hou van appels.,Pidän omenoista.,J'aime les pommes.,Ich mag Äpfel.,אני אוהב תפוחים.,Szeretem az almát.,Mi piacciono le mele.,私は林檎が好きです。,Lubię jabłka.,Я люблю яблоки.,Me gustan las manzanas.,Elmaları severim.,Я люблю яблука.
77810,262315,I broke my arm.,我的手臂斷了。,Ik heb mijn arm gebroken.,Mursin käteni.,Je me suis cassé le bras.,Ich brach mir den Arm.,שברתי את הזרוע שלי.,Eltörtem a karomat.,Mi sono rotto il braccio.,私は腕を骨折した。,Złamałem rękę.,Я сломал себе руку.,Me he roto el brazo.,Ben kolumu kırdım.,Я зламав руку.
77834,262339,"I think so, too.",我也这么想。,Dat vind ik ook.,Minäkin olen sitä mieltä.,Je le pense aussi.,Ich denke es auch.,גם אני חושבת ככה.,Magam is azon az állásponton vagyok.,Anche io lo penso.,私もそう思う。,Też tak myślę.,Я тоже так думаю.,Yo también lo creo.,Ben de öyle düşünüyorum.,Я теж так думаю.
77908,262424,Please help me.,請幫助我。,Help me alstublieft.,Auttaisitko?,Je vous prie de m'aider.,"Hilf mir, bitte.",תעזור לי בבקשה.,"Légy szíves, segíts!","Mi aiuti, per favore.",私を手伝ってください。,"Proszę, pomóż mi.","Пожалуйста, помогите мне.",Por favor échame una mano.,Lütfen bana yardımcı olun.,"Допоможи мені, будь ласка."
78717,263406,Poets write poems.,诗人写诗。,Dichters schrijven gedichten.,Runoilijat kirjoittavat runoja.,Les poètes écrivent des poèmes.,Dichter schreiben Gedichte.,משוררים כותבים שירה.,A költők verseket írnak.,I poeti scrivono poesie.,詩人は詩を書く。,Poeci piszą wiersze.,Поэты пишут стихи.,Los poetas escriben poemas.,Şairler şiirler yazar.,Поети пишуть поеми.
79144,263886,Time flies.,时间飞逝。,De tijd vliegt.,Aika rientää.,Le temps s'enfuit.,Die Zeit fliegt.,הזמן טס.,Az idő repül.,Il tempo vola.,時早く過ぎる。,Czas leci.,Время летит.,El tiempo vuela.,Zaman çabuk geçiyor.,Час летить.
