,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
118204,306813,They went to Chicago by car.,Ze zijn met de auto naar Chicago gegaan.,He menivät Chicagoon autolla.,Ils sont allés à Chicago en voiture.,Sie fuhren mit dem Auto nach Chicago. | Sie sind mit dem Auto nach Chicago gefahren.,הם נסעו במכונית לשיקאגו.,Autóval mentek Chicagoba.,Sono andati a Chicago in macchina. | Loro sono andati a Chicago in macchina. | Sono andate a Chicago in macchina. | Loro sono andate a Chicago in macchina. | Sono andate a Chicago in auto. | Sono andati a Chicago in auto. | Loro sono andate a Chicago in auto. | Loro sono andati a Chicago in auto. | Loro sono andate a Chicago in automobile. | Sono andate a Chicago in automobile. | Loro sono andati a Chicago in automobile. | Sono andati a Chicago in automobile.,彼らは車でシカゴへ行った。,他們坐車去芝加哥。,Pojechali do Chicago samochodem.,Eles foram de carro para Chicago. | Foram para Chicago de carro.,Они поехали в Чикаго на машине.,Fueron a Chicago en auto. | Ellos fueron en automóvil a Chicago. | Fueron a Chicago en coche.,Arabayla Şikago'ya gittiler. | Arabayla Chicago'ya gittiler.,Вони поїхали в Чікаґо на машині.
118642,307284,Are they Japanese?,Zijn ze Japans?,Ovatko he japanilaisia?,Sont-elles japonaises ? | Sont-ils japonais ?,Sind sie Japaner?,האם הם יפנים?,Ők japánok?,Sono giapponesi? | Loro sono giapponesi?,彼らは日本人ですか。 | 日本人ですか。 | あの人たちは日本人なの？,他们是日本人吗？,Czy są Japończykami? | Czy są Japonkami?,Eles são japoneses? | Elas são japonesas?,Они японцы? | Они японки?,¿Son ellos japoneses? | ¿Son japoneses? | ¿Ellas son japonesas? | ¿Ellos son japoneses?,Onlar Japon mu?,Вони японці? | Вони японки?
119825,308580,She opened the door.,Ze trok de deur open. | Zij opende de deur. | Ze deed de deur open.,Hän avasi oven.,Elle a ouvert la porte. | Elle ouvrit la porte.,Sie machte die Tür auf. | Sie öffnete die Tür.,היא פתחה את הדלת.,Ajtót nyitott.,Ha aperto la porta. | Lei ha aperto la porta. | Aprì la porta. | Lei aprì la porta.,彼女はドアを開けた。,她開了門。,Otworzyła drzwi.,Ela abriu a porta.,Она открыла дверь. | Она открывала дверь.,Ella abrió la puerta.,"O, kapıyı açtı.",Вона відчинила двері.
121111,309976,She tried.,Ze heeft geprobeerd. | Ze probeerde het. | Zij probeerde.,Hän yritti.,Elle a essayé.,Sie hat's versucht.,היא השתדלה. | היא ניסתה.,Ő megpróbálta. | Megpróbálta.,Ha provato. | Lei ha provato. | Provò. | Lei provò.,彼女は試した。 | 彼女はやってみた。,她试过了。,Próbowała.,Ela tentou. | Ela tentava.,Она старалась. | Она пыталась. | Она попробовала.,Ella lo intentó. | Ella lo probó.,O çabaladı.,Вона спробувала. | Вона старалася.
121341,310214,She is eight.,Zij is acht. | Ze is acht jaar oud.,Hän on 8 vuotta.,Elle a 8 ans.,Sie ist acht.,היא בת שמונה. | היא בת שמונה שנים. | הגיל שלה הוא שמונה שנים.,Nyolc éves. | Ő nyolc éves.,Ha otto anni. | Lei ha otto anni.,彼女は８才だ。 | 彼女は八つだ。,她八歲大。 | 她八歲。,Ma osiem lat. | Ona ma osiem lat.,Ela tem oito anos.,Ей восемь.,Ella tiene ocho años.,O sekiz yaşında.,Їй вісім. | Їй вісім років.
121613,310506,When was she born?,Wanneer is zij geboren?,Milloin hän syntyi? | Milloin hän on syntynyt?,Quand est-elle née ?,Wann wurde sie geboren? | Wann ist sie geboren?,מתי היא נולדה?,Mikor született?,Quando è nata? | Lei quando è nata?,彼女はいつ生まれたのですか。,她是什么时候出生的？ | 她什么时候生的？,Kiedy się urodziła?,Quando ela nasceu? | Ela nasceu quando?,Когда она родилась?,¿Cuándo nació ella? | ¿Cuándo nació?,O ne zaman doğdu?,Коли вона народилася?
122819,311795,She is very intelligent.,Ze is erg intelligent.,Hän on todella älykäs.,Elle est vraiment intelligente. | Elle est très intelligente.,Sie ist sehr intelligent.,היא מאד אינטליגנטית. | היא מאד נבונה.,Nagyon intelligens. | Ő nagyon intelligens.,Lei è molto intelligente. | È molto intelligente.,彼女は非常に頭が良い。 | 彼女は大変頭がいい。 | 彼女はとても頭が良い。 | 彼女はとても知的な人だ。,她很聪明。,Ona jest bardzo inteligentna.,Ela é muito inteligente.,Она очень умная. | Она очень умна.,Ella es muy inteligente.,O çok zeki.,Вона дуже розумна.
122851,311828,She loves Tom.,Ze houdt van Tom.,Hän rakastaa Tomia.,Elle est amoureuse de Tom. | Elle aime Tom.,Sie liebt Tom.,היא אוהבת את טום.,Ő szereti Tomot. | Szereti Tomit.,Ama Tom. | Lei ama Tom.,彼女はトムを愛している。,她愛湯姆。,Ona kocha Toma. | Kocha Toma.,Ela ama o Tom.,Она любит Тома.,Ella ama a Tom. | Ella quiere a Tom.,O Tom'u seviyor.,Вона кохає Тома.
122914,311898,She smiled.,Ze lachte.,Hän hymyili.,Elle a souri.,Sie lächelte. | Sie hat gelächelt.,היא חייכה.,Mosolygott.,Ha sorriso. | Lei ha sorriso. | Sorrise. | Lei sorrise.,彼女はにっこり笑った。 | 彼女は微笑みました。,她笑了。,Uśmiechnęła się.,Ela sorriu. | Ela sorria.,Она улыбнулась. | Она улыбалась.,Ella sonrió. | Sonrió.,O gülümsedi.,Вона посмiхнулася. | Вона посміхнулася.
123110,312110,She can speak French.,Ze kan Frans spreken.,Hän osaa ranskaa. | Hän osaa puhua ranskaa.,Elle sait parler français.,Sie spricht Französisch. | Sie kann Französisch sprechen. | Sie kann Französisch.,היא דוברת צרפתית. | היא יודעת צרפתית.,Tud franciául.,Lei sa parlare francese. | Sa parlare francese. | Sa parlare in francese. | Lei sa parlare in francese. | Riesce a parlare francese. | Lei riesce a parlare francese. | Riesce a parlare in francese. | Lei riesce a parlare in francese.,彼女はフランス語が話せる。,她会说法语。,Ona umie mówić po francusku. | Mówi po francusku.,Ela sabe falar francês.,Она говорит по-французски. | Она может говорить по-французски.,Ella sabe hablar francés. | Ella puede hablar en francés. | Ella puede hablar francés.,"O, Fransızca konuşabilir. | O Fransızca konuşabiliyor.",Вона вміє говорити французькою. | Вона говорить французькою.
123125,312125,Does she speak French?,Spreekt ze Frans?,Puhuuko hän ranskaa?,Parle-t-elle français ?,Spricht sie Französisch?,היא מדברת צרפתית? | האם היא יודעת צרפתית? | האם היא מדברת צרפתית?,Beszél franciául? | Beszél ő franciául?,Parla il francese? | Lei parla il francese?,彼女はフランス語を話しますか。,她会说法语吗？ | 她讲法语吗？,Czy ona mówi po francusku?,Ela fala francês?,Она говорит по-французски?,¿Ella habla francés? | ¿Habla ella francés?,O Fransızca konuşur mu?,Чи говорить вона французькою? | Вона говорить французькою?
123168,312168,She is my girlfriend.,Ze is mijn vriendin.,Hän on minun tyttöystäväni. | Se on mun tyttöystävä.,C'est ma copine. | C'est ma petite amie.,Sie ist meine Freundin.,היא חברתי.,Ő a barátnőm.,È la mia ragazza. | Lei è la mia ragazza. | È la mia fidanzata. | Lei è la mia fidanzata. | È la mia morosa. | Lei è la mia morosa.,彼女は私の恋人だ。 | 彼女は僕のガールフレンドです。,她是我的女朋友。,Ona jest moją dziewczyną.,Ela é minha namorada.,Она моя девушка. | Она моя подруга.,Ella es mi novia. | Ella es mi amiga. | Ella es amiga mía. | Es mi novia.,O benim kız arkadaşım.,Вона моя дівчина.
123555,312575,She worked hard.,Ze werkte hard. | Zij werkte hard.,Hän teki kovasti töitä.,Elle a travaillé dur. | Elle travaillait dur.,Sie arbeitete hart.,היא עבדה קשה.,Keményen dolgozott.,Ha lavorato sodo. | Lei ha lavorato sodo.,彼女は一生懸命働いた。,她努力地工作。,Ciężko pracowała. | Ona pracowała ciężko.,Ela trabalhou duro.,Она много работала. | Она усердно работала.,Ella trabajó duro.,O çok çalıştı.,Вона тяжко працювала.
123811,312850,She went home.,Ze ging naar huis.,Hän meni kotiin.,Elle est rentrée chez elle.,Sie ging nach Hause. | Sie ist nach Hause gegangen.,היא הלכה הביתה.,Hazament. | Elment haza.,È andata a casa. | Lei è andata a casa.,彼女は帰宅した。 | 彼女は家に帰った。,她回家了。,Poszła do domu.,Ela foi para casa.,Она пошла домой. | Она ушла домой.,Ella se fue a casa.,O eve gitti.,Вона пішла додому. | Вона поїхала додому.
124038,313091,She almost drowned.,Ze was bijna verdronken.,Hän oli vähällä hukkua.,Elle se noya presque. | Elle s'est presque noyée.,Sie wäre fast ertrunken. | Sie war kurz vor dem Ertrinken.,היא כמעט טבעה. | היא כמעט שטבעה.,Majdnem megfulladt.,È quasi annegata. | Lei è quasi annegata.,彼女は危うく溺死するところだった。 | 彼女は危うく溺れるところだった。 | 彼女はもう少しでおぼれるところだった。 | 彼女は危うく溺れて死ぬところだった。,她差点就溺水了。,Prawie się utopiła.,Ela quase se afogou.,Она чуть не утонула. | Она едва не утонула.,Ella casi se ahogó. | Casi se ahoga.,Neredeyse boğuluyordu.,Вона мало не потонула.
124133,313193,She cried.,Ze huilde.,Hän itki.,Elle pleurait. | Elle pleura.,Sie weinte.,היא בכתה.,Ő sírt. | Sírt. | Kiáltott. | Kiabált.,Ha pianto. | Lei ha pianto. | Pianse. | Lei pianse.,彼女は泣いた。,她哭了。,Ona płakała.,Ela chorou. | Ela chorava.,Она закричала. | Она плакала.,Ella lloró.,O ağladı.,Вона плакала. | Вона заплакала.
124299,313373,Does she know you?,Kent ze jullie?,Tunteeko hän sinut?,Te connaît-elle ? | Est-ce qu'elle te connait ?,Kennt sie dich? | Kennt sie euch? | Kennt sie Sie?,היא מכירה אותך? | האם היא מכירה אתם?,Ismer téged? | Ismeri önt? | Ismer titeket? | Ismeri önöket? | Ismer ő téged?,Lei ti conosce? | Ti conosce?,彼女は君を知っていますか。 | 彼女はあなたを知ってるの？,她知道你吗？ | 她认识你吗？,Czy ona cię zna?,Ela o conhece? | Ela te conhece?,Она тебя знает? | Она знает тебя? | Она вас знает? | Она Вас знает?,¿Ella te conoce?,O seni biliyor mu?,Вона тебе знає? | Вона вас знає?
125133,314287,She sat next to me.,Ze zat naast me. | Ze zat naast mij. | Zij zat naast me.,Hän istui viereeni.,Elle s'est assise à côté de moi. | Elle s'assit près de moi. | Elle s'est assise près de moi. | Elle s'assit à côté de moi.,Sie saß neben mir. | Sie setzte sich neben mich.,היא ישבה על ידי.,Mellettem foglalt helyet. | Mellém telepedett le. | Leült mellém. | Mellettem ült.,Si è seduta di fianco a me. | Lei si è seduta di fianco a me. | Si sedette accanto a me. | Lei si sedette accanto a me. | Si è seduta accanto a me. | Lei si è seduta accanto a me. | Si sedette di fianco a me. | Lei si sedette di fianco a me.,彼女は私のとなりに座った。,她坐在我旁边。,Ona usiadła obok mnie.,Ela sentou-se perto de mim. | Ela se sentou ao meu lado.,Она села возле меня. | Она села рядом со мной.,Ella se sentó cerca de mí. | Ella se sentó a mi lado.,"O, yanıma oturdu.",Вона сіла біля мене. | Вона сіла поруч зі мною.
126464,315731,Who is she?,Wie is zij?,Kuka hän on?,Qui est-elle ?,Wer ist sie?,מי היא? | מי זו?,Ki ő? | Ő ki? | Ő meg ki? | Kicsoda ő?,Chi è? | Chi è lei? | Lei chi è?,彼女は誰ですか。,她是谁？,Kim ona jest?,Quem é ela?,Кто она?,¿Quién es ella?,O kim? | O kimdir?,Хто вона? | Хто вона така?
126944,316246,She married him.,Ze is met hem getrouwd. | Ze trouwde hem.,Hän nai hänet.,Elle l'a épousé. | Elle l'épousa.,Sie heiratete ihn. | Sie hat ihn geheiratet.,היא נישאה לו.,Hozzáment.,L'ha sposato. | Lei l'ha sposato. | Lo sposò. | Lei lo sposò.,彼女は彼と結婚した。,她嫁给了他。,Wyszła za niego.,Ela se casou com ele.,Она вышла за него замуж.,Ella se casó con él. | Se casó con él.,Ona evlendi.,Вона одружилася з ним. | Вона вийшла за нього.
127156,316478,She wanted to help them.,Zij wou hen helpen.,Hän halusi auttaa heitä.,Elle a voulu les aider.,Sie wollte ihnen helfen.,היא רצתה לעזור להם.,Segíteni akart nekik.,Voleva aiutarli. | Lei voleva aiutarli. | Voleva aiutarle. | Lei voleva aiutarle.,彼女は彼らを助けたかった。,过去，她想帮他们。 | 过去，她想帮她们。,Chciała im pomóc.,Ela queria ajudá-los. | Ela queria ajudá-las.,Она хотела помочь им. | Она хотела им помочь.,Ella quería ayudarlos.,O onlara yardımcı olmak istedi.,Вона хотіла їм допомогти.
127208,316540,She looks sad.,Ze ziet er triest uit.,Hän näyttää surulliselta.,Elle paraît triste.,Sie sieht traurig aus.,היא נראית עצובה.,Szomorúnak látszik.,Sembra triste. | Lei sembra triste.,彼女は悲しそうだ。,她看起来很伤心。,Wygląda na smutną.,Ela parece estar triste. | Ela parece triste.,У неё грустный вид. | Она выглядит печальной. | Она какая-то грустная. | Она выглядит грустной.,Ella se ve triste. | Ella parece triste.,"O, üzgün ​​görünüyor.",Вона виглядає засмученою. | Вона виглядає сумною.
127209,316541,She looked sad.,Ze zag er verdrietig uit.,Hän näytti surulliselta.,Elle avait l'air triste.,Sie sah traurig aus.,היא נראתה עצובה.,Szomorúnak tűnt.,Sembrava triste. | Lei sembrava triste.,彼女は悲しそうに見えた。 | 彼女は悲しそうな顔をしていた。,她看上去很伤心。,Wyglądała na smutną. | Wyglądała smutno.,Ela parecia triste.,Она выглядела грустной. | Она была какая-то грустная.,Ella se veía triste. | Ella parecía triste.,"O, üzgün ​​görünüyordu. | Üzgün görünüyordu.",Вона виглядала сумною.
